time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
0.000000000000000e+00	0.000000e+00
9.999999824516700e-14	0.000000e+00
1.999999964903340e-13	4.235163e-22
3.999999929806680e-13	1.694065e-21
7.999999859613360e-13	0.000000e+00
1.599999971922672e-12	0.000000e+00
3.199999943845344e-12	0.000000e+00
6.399999887690688e-12	0.000000e+00
1.279999977538138e-11	1.084202e-19
1.865938879270048e-11	2.168403e-19
2.707763529780734e-11	2.168403e-19
3.666068714531309e-11	-4.336807e-19
5.582679084032458e-11	0.000000e+00
9.415899823034756e-11	2.385244e-18
1.708234130103935e-10	1.669671e-17
3.241522425704855e-10	8.977189e-17
5.315266265488201e-10	3.194058e-16
7.540322734538411e-10	7.908167e-16
1.100340033998375e-09	2.139130e-15
1.582052603167434e-09	5.630042e-15
2.416613762320052e-09	1.779674e-14
3.854846632560449e-09	6.498141e-14
6.731312373041242e-09	3.174555e-13
1.248424385400283e-08	1.905231e-12
2.248424385400283e-08	1.062522e-11
3.248424385400283e-08	3.077075e-11
4.248424385400283e-08	6.714593e-11
5.248424385400283e-08	1.244358e-10
6.248424385400282e-08	2.072073e-10
7.248424385400282e-08	3.199108e-10
8.248424385400282e-08	4.668809e-10
9.248424385400281e-08	6.523377e-10
1.024842438540028e-07	8.803880e-10
1.124842438540028e-07	1.155026e-09
1.224842438540028e-07	1.480136e-09
1.324842438540028e-07	1.859491e-09
1.424842438540028e-07	2.296755e-09
1.524842438540028e-07	2.795487e-09
1.624842438540029e-07	3.359135e-09
1.724842438540029e-07	3.991047e-09
1.824842438540029e-07	4.694461e-09
1.924842438540029e-07	5.472516e-09
2.024842438540029e-07	6.328247e-09
2.124842438540029e-07	7.264590e-09
2.224842438540029e-07	8.284378e-09
2.324842438540029e-07	9.390347e-09
2.424842438540029e-07	1.058514e-08
2.524842438540030e-07	1.187129e-08
2.624842438540030e-07	1.325124e-08
2.724842438540030e-07	1.472736e-08
2.824842438540030e-07	1.630190e-08
2.924842438540030e-07	1.797702e-08
3.024842438540030e-07	1.975480e-08
3.124842438540030e-07	2.163722e-08
3.224842438540030e-07	2.362619e-08
3.324842438540030e-07	2.572350e-08
3.424842438540030e-07	2.793088e-08
3.524842438540031e-07	3.024997e-08
3.624842438540031e-07	3.268232e-08
3.724842438540031e-07	3.522938e-08
3.824842438540031e-07	3.789255e-08
3.924842438540031e-07	4.067313e-08
4.024842438540031e-07	4.357234e-08
4.124842438540031e-07	4.659132e-08
4.224842438540031e-07	4.973113e-08
4.324842438540031e-07	5.299277e-08
4.424842438540031e-07	5.637714e-08
4.524842438540032e-07	5.988507e-08
4.624842438540032e-07	6.351732e-08
4.724842438540032e-07	6.727458e-08
4.824842438540031e-07	7.115746e-08
4.924842438540031e-07	7.516650e-08
5.024842438540032e-07	7.930218e-08
5.124842438540032e-07	8.356488e-08
5.224842438540032e-07	8.795495e-08
